Country,Year,value
Slovenia,1920,173.7
Slovenia,1950,175.8
Slovenia,1970,179.2
Spain,1830,161
Spain,1840,163.7
Spain,1850,162.5
Spain,1860,162.7
Spain,1870,162.6
Spain,1880,163.9
Spain,1890,164
Spain,1900,164.6
Spain,1910,165.1
Spain,1920,165.6
Spain,1930,165.2
Spain,1940,166.3
Spain,1950,170.8
Spain,1960,174.2
Spain,1970,175.2
Spain,1980,175.6
Sweden,1830,168.1
Sweden,1840,167.9
Sweden,1850,168.4
Sweden,1860,169.3
Sweden,1870,170.3
Sweden,1880,171.2
Sweden,1890,172.4
Sweden,1900,172.8
Sweden,1910,173.2
Sweden,1920,168.3
Sweden,1930,175.5
Sweden,1940,178.5
Sweden,1950,179.3
Sweden,1960,180.1
Sweden,1970,180
Sweden,1980,180.4
Switzerland,1820,167.6
Switzerland,1830,166.3
Switzerland,1870,164.7
Switzerland,1880,166.8
Switzerland,1890,170.5
Switzerland,1900,170.5
Switzerland,1910,171.5
Switzerland,1920,170.9
Switzerland,1930,171.3
Ukraine,1820,164.1
Ukraine,1830,164.8
Ukraine,1840,164.1
Ukraine,1850,163.1
Ukraine,1870,164.6
Ukraine,1880,165.4
"United Kingdom",1810,169.7
"United Kingdom",1820,169.1
"United Kingdom",1830,166.7
"United Kingdom",1840,166.5
"United Kingdom",1850,165.6
"United Kingdom",1860,166.6
"United Kingdom",1870,167.2
"United Kingdom",1880,168
"United Kingdom",1890,167.4
"United Kingdom",1900,169.4
"United Kingdom",1910,170.9
"United Kingdom",1920,171
"United Kingdom",1930,173.9
"United Kingdom",1940,174.9
"United Kingdom",1950,176
"United Kingdom",1960,176.9
"United Kingdom",1970,177.1
"United Kingdom",1980,176.8
